id,name,product_group_name,store_name,location,asset_number,serial_number,weight,replacement_charge,quantity_held,asset_replacement_value,purchase_price,effective_date,written_off,sold
1161,SDI Fibre in waterproof case,Vision,LDMtv,B4,5368987,5368987,1.8,200.0,1.0,200.0,200.0,2024-12-10 00:00:00 UTC,,
1168,SDI Fibre in waterproof case,Vision,LDMtv,B4,5368989,5368989,1.8,200.0,1.0,200.0,200.0,2024-12-10 00:00:00 UTC,,
1052,SERV Pro,Vision,LDMtv,"",LDM1537,65402578,0.55,1890.0,1.0,1890.0,0.0,2024-12-09 00:00:00 UTC,,
1053,SERV Pro,Vision,LDMtv,D,LDM1538,65401652,0.55,1890.0,1.0,1890.0,0.0,2024-12-09 00:00:00 UTC,,
405,SmartScope Duo 4K,Vision,LDMtv,T16 Sound,LDM1014,3654479,1.7,869.0,1.0,869.0,869.0,2023-09-08 23:00:00 UTC,,
302,SmartScope Duo 4K,Vision,LDMtv,V16,LDM1098,2985278,1.7,869.0,1.0,869.0,869.0,2023-08-24 23:00:00 UTC,,
303,SmartScope Duo 4K,Vision,LDMtv,V16,LDM1099,3738556,1.7,869.0,1.0,869.0,869.0,2023-08-24 23:00:00 UTC,,
493,SmartScope Duo 4K,Vision,LDMtv,V16,LDM1172,6002905,1.7,869.0,1.0,869.0,869.0,2024-04-30 23:00:00 UTC,,
494,SmartScope Duo 4K,Vision,LDMtv,V16,LDM1173,6003138,1.7,869.0,1.0,869.0,869.0,2024-04-30 23:00:00 UTC,,
1509,SmartScope Duo 4K,Vision,LDMtv,E2,LDM1186,1876607,1.7,869.0,1.0,869.0,869.0,2020-01-16 00:00:00 UTC,,
1508,SmartScope Duo 4K,Vision,LDMtv,E2,LDM1191,1808112,1.7,869.0,1.0,869.0,869.0,2020-01-16 00:00:00 UTC,,
748,SmartScope Duo 4K,Vision,LDMtv,E2,LDM1749,3577613,1.7,869.0,1.0,869.0,869.0,2024-11-28 00:00:00 UTC,,
548,Smart Videohub 16x16,Vision,LDMtv,A2,LDM1069,"",1.5,1351.0,1.0,1351.0,1351.0,2024-06-02 23:00:00 UTC,,
311,Smart video hub 40x40,Vision,LDMtv,"",LDM0492,3086274,4.5,2800.0,1.0,2800.0,2800.0,2023-08-24 23:00:00 UTC,,
759,Smart VideoHub 40x40,Vision,LDMtv,A2,61000,3086274,4.5,3166.0,1.0,3166.0,0.0,2024-11-28 00:00:00 UTC,,
1424,Smartview Duo,Vision,LDMtv,T16 Sound,LDM1365,4289697,1.6,535.0,1.0,535.0,535.0,2020-12-17 00:00:00 UTC,,
1058,Smartview Duo,Vision,LDMtv,"",LDM1536,1903317,1.6,535.0,1.0,535.0,535.0,2024-12-09 00:00:00 UTC,,
543,Smartview Duo,Vision,LDMtv,"",LDM1823,1903339,1.6,535.0,1.0,535.0,535.0,2024-06-02 23:00:00 UTC,,
304,Smartview Duo,Vision,LDMtv,E2,LDM1931,4296360,1.6,535.0,1.0,535.0,535.0,2023-08-24 23:00:00 UTC,,
1259,SmartView HD,Vision,LDMtv,E2,LDM1454,3668522,2.3,959.0,1.0,959.0,959.0,2024-12-16 00:00:00 UTC,,
1092,SmartView HD,Vision,LDMtv,E2,LDM1504,1403183,2.3,959.0,1.0,959.0,959.0,2024-12-09 00:00:00 UTC,,
804,SmartView HD,Vision,LDMtv,"",LDM1722,1403182,2.3,959.0,1.0,959.0,959.0,2024-11-29 00:00:00 UTC,,
1330,Steady Cam Kit,Vision,LDMtv,K4,5368911,5368911,9.07,1963.0,1.0,1963.0,1963.0,2024-12-16 00:00:00 UTC,,
1324,Streamhub Ultra 4K 1U,Vision,LDMtv,"",LDM1402,AVWSH07201U001571,9.0,1000.0,1.0,1000.0,1000.0,2024-12-16 00:00:00 UTC,,
1088,Studio Videohub,Vision,LDMtv,A2,61012,1334371,1.7,1215.0,1.0,1215.0,1215.0,2024-12-09 00:00:00 UTC,,
1087,Studio Videohub,Vision,LDMtv,A2,61013,376461,1.7,1215.0,1.0,1215.0,1215.0,2024-12-09 00:00:00 UTC,,
1515,SW8 HDMI Switcher,Vision,LDMtv,A2,61021,A10JMWK,1.8,125.0,1.0,125.0,125.0,2020-01-16 00:00:00 UTC,,
503,Teranex AV,Vision,LDMtv,A2,61005,3623813,1.7,1216.0,1.0,1216.0,1216.0,2024-06-02 23:00:00 UTC,,
504,Teranex AV,Vision,LDMtv,A2,61006,4292209,1.7,1216.0,1.0,1216.0,1216.0,2024-06-02 23:00:00 UTC,,
